BSI_2000,BSI_2024,NDVI_2000,NDVI_2024,latitude,longitude,Zone,NDVI_Change,Degradation_Status
-0.012961498461663723,-0.0277410838752985,0.1350366473197937,0.2150665670633316,6.690204760737008,38.21208287812768,Northern Zone,0.0800299197435379,Improved
-0.014005307108163834,-0.027737479656934738,0.16462276875972748,0.20470523834228516,6.66684822355372,38.217961406309136,Central Zone,0.04008246958255768,Stable
-0.01150286104530096,-0.023145513609051704,0.15676496922969818,0.20998471975326538,6.744959479662716,38.24628850697009,Northern Zone,0.0532197505235672,Improved
-0.03743573650717735,-0.0615747794508934,0.20535214245319366,0.2572072148323059,6.6646949916197915,38.20935528193737,Central Zone,0.051855072379112244,Improved
-0.008794259279966354,-0.05322245880961418,0.1535528600215912,0.2619229853153229,6.61851005706756,38.2254464898729,Central Zone,0.10837012529373169,Improved
-0.07976089417934418,-0.05839579179883003,0.23348169028759003,0.26095128059387207,6.771305840969092,38.26310641231153,Northern Zone,0.027469590306282043,Stable
0.023145321756601334,-0.009552424773573875,0.13637876510620117,0.1901109665632248,6.670164628659615,38.221107094244154,Central Zone,0.05373220145702362,Improved
0.03701140359044075,-0.02406202256679535,0.12305771559476852,0.23430465161800385,6.712417801330726,38.233071672901744,Northern Zone,0.11124693602323532,Improved
0.0166986845433712,-0.038872744888067245,0.12062004208564758,0.2174024134874344,6.707088031194529,38.24667565438837,Northern Zone,0.0967823714017868,Improved
0.010872967541217804,-0.019176384434103966,0.14192427694797516,0.2052522450685501,6.667400852667524,38.21836910933583,Central Zone,0.06332796812057495,Improved
-0.008080652914941311,-0.04822796210646629,0.1783384382724762,0.21033978462219238,6.674699177170662,38.21130105037217,Northern Zone,0.032001346349716187,Stable
0.03099358268082142,0.002312564291059971,0.11881043761968613,0.1828591674566269,6.658120201846767,38.21788497806714,Central Zone,0.06404872983694077,Improved
-0.0038994252681732178,-0.043913137167692184,0.1798744946718216,0.22776998579502106,6.633047584152647,38.228686902539536,Central Zone,0.04789549112319946,Stable
0.07335799187421799,0.02794826775789261,0.11747628450393677,0.18112190067768097,6.590623292673609,38.2030639911875,Central Zone,0.0636456161737442,Improved
-0.014987871050834656,-0.048737626522779465,0.1535411924123764,0.24692927300930023,6.685151241395493,38.201249899201564,Northern Zone,0.09338808059692383,Improved
-0.051820557564496994,-0.05674716457724571,0.19919723272323608,0.23123103380203247,6.751671997801214,38.26284150224053,Northern Zone,0.03203380107879639,Stable
0.024417506530880928,-0.026643989607691765,0.1379222571849823,0.19846342504024506,6.553678778415258,38.20199902826987,Southern Zone,0.060541167855262756,Improved
0.023191839456558228,-0.016714349389076233,0.1330977827310562,0.19833143055438995,6.724360551616162,38.225319776226016,Northern Zone,0.06523364782333374,Improved
0.02377290278673172,-0.04342767596244812,0.12299243360757828,0.19236046075820923,6.653527178765236,38.228177549922556,Central Zone,0.06936802715063095,Improved
-0.010758615098893642,-0.02588444948196411,0.144280806183815,0.22259053587913513,6.741673525558823,38.2474370783254,Northern Zone,0.07830972969532013,Improved
-0.04155789688229561,-0.04550207778811455,0.17013448476791382,0.24328015744686127,6.733177155678457,38.25098286752353,Northern Zone,0.07314567267894745,Improved
0.01769953966140747,-0.03861644119024277,0.11537919193506241,0.18542373180389404,6.6668469047721715,38.231040016658035,Central Zone,0.07004453986883163,Improved
-0.0725645124912262,-0.06933408230543137,0.23887822031974792,0.315544456243515,6.7515917759477615,38.266509462705315,Northern Zone,0.07666623592376709,Improved
-0.050794605165719986,-0.05405131354928017,0.21386827528476715,0.29713860154151917,6.709503228529455,38.24954318674788,Northern Zone,0.08327032625675201,Improved
0.06982392072677612,0.015601336024701595,0.10321610420942307,0.14078034460544586,6.582695411581031,38.2051923429844,Central Zone,0.0375642403960228,Stable
0.016787400469183922,-0.02133539319038391,0.1385507583618164,0.18302957713603973,6.637361452216181,38.22036870515768,Central Zone,0.04447881877422333,Stable
0.045285239815711975,-0.03896054998040199,0.10276888310909271,0.22620177268981934,6.702605184679789,38.23742008921388,Northern Zone,0.12343288958072662,Improved
-0.006284656468778849,-0.04820430651307106,0.13444958627223969,0.18029040098190308,6.6473855889908675,38.23686728600759,Central Zone,0.04584081470966339,Stable
-0.007132862228900194,-0.042812999337911606,0.12600290775299072,0.2501205801963806,6.7058775902610535,38.24696980702095,Northern Zone,0.12411767244338989,Improved
-0.04391423612833023,-0.05998758599162102,0.17400585114955902,0.25497427582740784,6.652024257627441,38.22906989817738,Central Zone,0.08096842467784882,Improved
0.01349305734038353,-0.015424164943397045,0.12893715500831604,0.2133937031030655,6.741430179628382,38.2519567497251,Northern Zone,0.08445654809474945,Improved
0.04021897539496422,-0.004960936494171619,0.12531813979148865,0.15587547421455383,6.643047590892441,38.216694478686414,Central Zone,0.030557334423065186,Stable
-0.01359450351446867,-0.04601161926984787,0.1939544677734375,0.2468315064907074,6.678600869881998,38.209880792787274,Northern Zone,0.0528770387172699,Improved
0.03960723057389259,-0.033832941204309464,0.12026290595531464,0.1869325041770935,6.656253292369426,38.22573091339411,Central Zone,0.06666959822177887,Improved
0.04219295457005501,0.039867158979177475,0.09016060084104538,0.1301683485507965,6.642230779954348,38.22075119985443,Central Zone,0.04000774770975113,Stable
-0.023929331451654434,-0.03457879647612572,0.17854426801204681,0.240434929728508,6.759827943039506,38.26238319940962,Northern Zone,0.06189066171646118,Improved
0.016296055167913437,-0.02416047640144825,0.13455475866794586,0.2024933099746704,6.753182013372746,38.23257054028569,Northern Zone,0.06793855130672455,Improved
0.04724068194627762,0.014048993587493896,0.12016673386096954,0.1830638349056244,6.612020762003828,38.2109331392168,Central Zone,0.06289710104465485,Improved
0.00929822027683258,-0.03694114834070206,0.14866873621940613,0.19265419244766235,6.595210877906706,38.21041295658944,Central Zone,0.043985456228256226,Stable
0.08800653368234634,0.02889290452003479,0.10438576340675354,0.17946405708789825,6.492518235924063,38.20284212512852,Southern Zone,0.07507829368114471,Improved
-0.007443272043019533,-0.04757314920425415,0.1415238380432129,0.18841439485549927,6.712219574784651,38.24486904889962,Northern Zone,0.04689055681228638,Stable
-0.020370371639728546,-0.030540719628334045,0.1601569652557373,0.233334481716156,6.729779164296156,38.24392574382043,Northern Zone,0.0731775164604187,Improved
0.004101966042071581,-0.0540115125477314,0.16779732704162598,0.2524096369743347,6.6151837834336265,38.227900500648424,Central Zone,0.08461230993270874,Improved
0.038090482354164124,-0.012180240824818611,0.1424109935760498,0.16695214807987213,6.633083330668856,38.20319271664443,Central Zone,0.024541154503822327,Stable
0.07079710066318512,0.04989774152636528,0.09541860967874527,0.14337694644927979,6.713242982045638,38.21167368170585,Northern Zone,0.047958336770534515,Stable
0.01792331226170063,-0.03831583261489868,0.14910314977169037,0.21977242827415466,6.762896342924267,38.24544971318659,Northern Zone,0.0706692785024643,Improved
-0.023344893008470535,-0.046272460371255875,0.15927086770534515,0.2287592738866806,6.546868476389535,38.199314598512636,Southern Zone,0.06948840618133545,Improved
-0.011833015829324722,-0.043763168156147,0.16628441214561462,0.22482378780841827,6.6686168052043815,38.215526564122705,Central Zone,0.05853937566280365,Improved
0.03489098697900772,-0.026873109862208366,0.1129179522395134,0.16722632944583893,6.741353029635456,38.2499799900691,Northern Zone,0.05430837720632553,Improved
0.00018162891501560807,-0.0360063873231411,0.12877768278121948,0.18004830181598663,6.605748456660933,38.21944334351556,Central Zone,0.05127061903476715,Improved
0.002012204146012664,-0.049454253166913986,0.17159852385520935,0.252981036901474,6.656117405429012,38.20700383503786,Central Zone,0.08138251304626465,Improved
0.03622953221201897,-0.00916295126080513,0.1354760080575943,0.19243302941322327,6.632545443101561,38.2180804669028,Central Zone,0.05695702135562897,Improved
-0.040683358907699585,-0.061547473073005676,0.20232655107975006,0.24589596688747406,6.660615114127609,38.22441037098385,Central Zone,0.043569415807724,Stable
-0.0167507566511631,-0.05361245945096016,0.150781512260437,0.22576487064361572,6.668061737206047,38.23413797011925,Central Zone,0.07498335838317871,Improved
-0.012723536230623722,-0.024546656757593155,0.1697133481502533,0.2088926136493683,6.723599710964441,38.23017771196916,Northern Zone,0.03917926549911499,Stable
0.007011049427092075,-0.030444158241152763,0.16237233579158783,0.22211840748786926,6.631516170912066,38.223331811720854,Central Zone,0.05974607169628143,Improved
0.04138092324137688,-0.03189642354846001,0.1529267132282257,0.23726581037044525,6.504051974264806,38.192810489572345,Southern Zone,0.08433909714221954,Improved
